Date,COST,PYPL,EBAY,DIS,ATVI,AMZN
14/10/21,446.975086,266.45,73.1196501,174.41,75.66043735,164.5965728
13/10/21,441.6589132,256.36,73.33505346,172.96,74.80551715,163.8194445
12/10/21,443.2160758,255.85,73.10985904,173.13,74.47746638,161.9763835
11/10/21,446.0229357,255.05,72.94341099,173.52,75.86919693,161.9250072
08/10/21,448.1553558,260.06,73.48191939,176.74,77.15157723,164.0359231
07/10/21,449.1670155,263.54,72.62030594,177.71,76.90305391,164.7247641
06/10/21,445.6658793,264.06,70.04525667,175.48,76.83346739,162.7086199
05/10/21,442.5912271,260.15,68.50805996,174.61,76.34636169,160.6630466
04/10/21,436.541105,255.01,67.03940067,173.46,76.72411713,159.1057972
01/10/21,444.6641378,264.65,68.44931358,176.01,78.06614302,163.768567
30/09/21,445.6757975,260.21,68.2143281,169.17,76.93287671,163.8573532
29/09/21,448.0958464,259,68.50805996,172.68,76.92293578,164.6594214
28/09/21,443.6921509,262.19,69.77110694,174.52,75.87913787,165.3996386
27/09/21,456.7941367,273.39,72.13075285,178.26,74.6365213,169.8808457
24/09/21,463.9253461,278.11,71.46496064,176,74.81545809,170.8644767
23/09/21,449.0777514,279.1,71.97409586,176.25,74.22894307,170.3896204
22/09/21,448.6314309,272.34,71.680364,173.65,72.37992962,168.5964392
21/09/21,448.4132298,269.49,70.61313826,171.17,72.59863014,166.7798145
20/09/21,447.4511612,269.91,71.3474679,178.61,75.73002388,167.3833609
17/09/21,455.7527222,276.34,72.56155957,183.47,79.09005907,172.7100317
16/09/21,459.5216507,282.97,73.13923222,183.34,78.81171296,173.9929419
15/09/21,456.9627466,282.43,72.44406683,184.41,77.78779691,173.3719375
14/09/21,454.6617166,282.24,69.89839074,182.4,77.38021868,172.0855358
13/09/21,455.9014957,280.49,71.15164666,184.98,78.06614302,172.4431744
10/09/21,461.3565238,284.32,71.04394498,184.12,79.16958653,173.0407352
09/09/21,462.130146,286.88,71.4747517,185.91,77.58897826,173.789432
08/09/21,461.8921084,285.23,72.38532046,185.15,79.81574714,175.8514656
07/09/21,455.8419863,293.26,73.14902329,184.34,78.00649742,175.042913
03/09/21,458.767865,289.13,74.93099655,181,80.70049013,173.484666
02/09/21,457.2007842,285.53,74.8918323,181.86,80.82972226,172.7399596
01/09/21,452.7871705,286.75,74.5589362,183.48,81.81387458,173.5320519
31/08/21,451.7655926,288.66,75.13660885,181.3,81.8834611,173.1225382
30/08/21,452.2019948,288.47,75.75200229,179.98,80.64084454,170.6674512
27/08/21,446.6577026,278.33,74.6384332,180.14,81.9431067,167.0790937
26/08/21,445.6361246,273.62,73.88628566,176.56,80.77007666,165.4016338
25/08/21,447.5404253,277.69,72.44059948,178.31,80.33267563,164.5626545
24/08/21,448.0958464,279.51,71.1512037,178.47,81.30688702,164.8918616
23/08/21,451.2101715,276.98,71.50285709,177.66,81.73434712,162.9011562
20/08/21,455.2369741,272.96,71.65914749,175.12,82.14192535,159.6130754
19/08/21,450.5456499,270.58,71.14143555,173.25,82.6787357,159.0045411
18/08/21,442.5614724,268.84,71.14143555,174.74,82.340744,159.6764229
17/08/21,448.6413492,271.1,71.1512037,175.83,82.87755435,161.7085286
16/08/21,449.1570973,278.28,73.50532782,179.09,83.35471912,164.5531773
13/08/21,444.1583079,274.91,72.30384538,181.08,83.35471912,164.3027804
12/08/21,441.7184226,274.59,67.2927845,179.29,84.66692221,164.7781355
11/08/21,440.6670899,276.41,66.44295546,178.09,84.49792635,164.2100038
10/08/21,439.4074743,274.37,65.74941682,177.07,82.49979892,165.6350716
09/08/21,436.8684067,278.15,63.83485944,176.72,80.92913158,166.6920259
06/08/21,436.0352751,279.54,63.97161354,177.13,81.9431067,166.8451571
05/08/21,439.566166,280.67,65.72011237,176.71,79.84556994,168.393927
04/08/21,431.4828062,275.5,66.42341916,172.58,81.03848184,167.3329822
03/08/21,431.5125609,273.5,66.43318731,172.99,79.35846425,167.9075983
02/08/21,425.4128476,270.99,67.0388126,175.55,82.27115747,166.1737741
30/07/21,426.2063062,275.53,66.6285503,176.02,83.12607767,165.9797415
29/07/21,421.8026108,283.17,71.70798824,178.35,83.076373,179.5635252
28/07/21,417.9911713,301.98,71.20004445,179.1,84.31898957,181.0798731
27/07/21,420.089938,300.48,70.61395545,179.5,83.55353777,180.8838453
26/07/21,418.9910554,306.8,71.56146599,178.74,89.60756567,184.5465238
23/07/21,419.1890523,308.53,71.83497419,176.14,90.95953249,182.3927112
22/07/21,413.3580447,303.69,70.38928801,175.13,89.93561644,181.4644469
21/07/21,410.8533845,301.77,68.24029503,176.89,90.63148171,178.8292936
20/07/21,412.0710651,298.07,67.95701869,176.75,90.96947342,178.2302364
19/07/21,410.001998,294.85,66.9411311,172.95,89.76662059,177.0530716
16/07/21,406.2598573,294.63,66.59924585,179.31,91.25776046,178.2521836
